Anio,TRM,variacion
1992,737.98,14.310685926447873
1993,804.33,8.249101736849305
1994,831.27,3.2408242809195498
1995,987.65,15.833544271756189
1996,1005.33,1.7586265206449687
1997,1293.58,22.283121260378167
1998,1542.11,16.116230359701966
1999,1873.77,17.700144628209443
2000,2229.18,15.943530805049386
2001,2291.18,2.7060292076571897
2002,2864.79,20.022759085308177
2003,2778.21,-3.1163950889241607
2004,2389.75,-16.25525682602783
2005,2284.22,-4.619957797410066
2006,2238.79,-2.029221141777471
2007,2014.76,-11.11943854354861
2008,2243.59,10.199278834368139
2009,2044.23,-9.752327282155145
2010,1913.98,-6.80519127681585
2011,1942.7,1.4783548669377684
2012,1768.23,-9.866929075968626
2013,1926.83,8.231136114758433
2014,2392.46,19.462394355600516
2015,3149.47,24.036107662559093
2016,3000.71,-4.957493393230261
2017,2984.0,-0.559986595174264
2018,3249.75,8.1775521193938
2019,3277.14,0.8357897434958492
2020,3432.5,4.526147123088132
2021,3981.16,13.781410443187408
