Anio,TRM,Variacion_TRM,SalarioMinimo,Variacion_Salario,Variacion_Inflacion
1992,737.98,14.31,65190.0,26.04,25.13
1993,804.33,8.25,81510.0,25.0,22.6
1994,831.27,3.24,98700.0,21.1,22.59
1995,987.65,15.83,118934.0,20.5,19.46
1996,1005.33,1.76,142125.0,19.5,21.63
1997,1293.58,22.28,172005.0,21.0,17.68
1998,1542.11,16.12,203826.0,18.5,16.7
1999,1873.77,17.7,236460.0,16.0,9.23
2000,2229.18,15.94,260100.0,10.0,8.75
2001,2291.18,2.71,286000.0,10.0,7.65
2002,2864.79,20.02,309000.0,8.0,6.99
2003,2778.21,-3.12,332000.0,7.4,6.49
2004,2389.75,-16.26,358000.0,7.8,5.5
2005,2284.22,-4.62,381500.0,6.6,4.85
2006,2238.79,-2.03,408000.0,6.9,4.48
2007,2014.76,-11.12,433700.0,6.3,5.69
2008,2243.59,10.2,461500.0,6.4,7.67
2009,2044.23,-9.75,496900.0,7.7,2.0
2010,1913.98,-6.81,515000.0,3.6,3.17
2011,1942.7,1.48,535600.0,4.0,3.73
2012,1768.23,-9.87,566700.0,5.8,2.44
2013,1926.83,8.23,589500.0,4.02,1.94
2014,2392.46,19.46,616000.0,4.5,3.66
2015,3149.47,24.04,644350.0,4.6,6.77
2016,3000.71,-4.96,689455.0,7.0,5.75
2017,2984.0,-0.56,737717.0,7.0,4.09
2018,3249.75,8.18,781242.0,5.9,3.18
2019,3277.14,0.84,828116.0,6.0,3.8
2020,3432.5,4.53,877803.0,6.0,1.61
2021,3981.16,13.78,908526.0,3.5,5.62
